channel6,channel7,channel8,channel9,channel10
-0.008265018454990997,-0.008369017843685687,-0.010799468652343986,0.012218077049820869,0.01858134431616596
-0.008262061468211191,-0.008364209735100634,-0.010803483423012504,0.0122209619149719,0.018597619763726363
-0.008266821495710392,-0.00836098830234865,-0.010796463584478328,0.012218341495793044,0.01860692345383844
-0.008269249590545844,-0.008358968896742928,-0.010785909786134137,0.01222170717180258,0.018598821790872626
-0.00826896110403074,-0.008359041018371703,-0.010779923690945749,0.012227380739932944,0.01860552910234877
-0.008263744306215959,-0.008368200465226228,-0.010778072569140502,0.012229688632053771,0.018620314036247816
-0.00825754184614124,-0.008368128343597453,-0.010774394366072935,0.012230025199654722,0.018623271023027625
-0.008258936197630906,-0.00836743116785262,-0.010771822027979931,0.012229352064452815,0.01860788507555545
-0.008269321712174621,-0.008367359046223844,-0.010776678217650836,0.012229760753682544,0.018597066831239083
-0.00827809651034234,-0.00836637338396391,-0.01077939479900139,0.01222444779369606,0.018603533737285974
-0.008270403536606257,-0.008364474181072813,-0.01077898610977166,0.01222942418608159,0.018589686384561026
-0.008266557049738214,-0.00836327215392655,-0.010784034623785969,0.012235818970499709,0.018571415571937824
-0.008262061468211191,-0.008361829721351034,-0.010785332813103931,0.012236492105701616,0.018556991246182663
-0.008257325481254914,-0.008361108505063275,-0.01077898610977166,0.012238799997822444,0.018547447150641338
-0.008255979210851099,-0.008362310532209538,-0.01077898610977166,0.012238583632936116,0.018545067136891736
-0.0082584553867724,-0.008363127910668998,-0.01078631847536387,0.012237093119274749,0.018529801392134195
-0.00826215763038289,-0.008362046086237359,-0.010785525137447334,0.01223718928144645,0.018514078877061076
-0.008261196008665879,-0.00836144507266423,-0.010776750339279613,0.012235290078555354,0.018507732173728805
-0.008260979643779554,-0.008363584680984578,-0.010776630136564986,0.012233246632406708,0.01851179502548317
-0.00825891215708798,-0.008362070126780287,-0.010779587123344793,0.012235698767785085,0.018502755781343274
-0.008257253359626137,-0.008362022045694436,-0.0107595132700022,0.012231852280917044,0.018501385470396533
-0.008259248724688934,-0.008360243045517966,-0.0107641771353297,0.012233414916207185,0.018509150565761398
-0.008258743873287505,-0.008359281423800956,-0.010768408270884546,0.012238944241079994,0.01851520878257856
-0.008257589927227091,-0.008359545869773133,-0.010770307473775642,0.012241588700801774,0.018519944769534842
-0.008263119252099901,-0.008362935586325596,-0.010773456784898851,0.01224110788994327,0.018523310445544373
-0.00826266248178432,-0.00836418569455771,-0.010778168731312205,0.012239497173567277,0.018529344621818614
-0.008259152562517233,-0.008365267518989345,-0.010774995379646069,0.012237742213933731,0.01853619617655232
-0.008259296805774785,-0.008364810748673766,-0.010768264027626994,0.012233967848694466,0.01855225525922639
-0.008262686522327247,-0.008364113572928933,-0.010763600162299491,0.01224069920071354,0.018550500299592848
-0.008258022656999747,-0.008361661437550556,-0.010759561351088048,0.01224663721481608,0.01854898574538856
-0.008261700860067311,-0.00836250285655294,-0.01075691689136627,0.012246036201242948,0.018556245989351985
-0.008263816427844734,-0.008360916180719873,-0.010756267796707287,0.012227164375046616,0.018563963003630998
-0.008261965306039487,-0.008358536166970272,-0.01076021044574703,0.012217115428103857,0.018559227016674718
-0.008260378630206422,-0.008362382653838315,-0.010768047662740669,0.012230481969970302,0.018540643676993488
-0.008262181670925817,-0.00836199800515151,-0.010765932094963244,0.012238896159994144,0.018538720433559468
-0.008261845103324863,-0.008360194964432115,-0.010763119351440987,0.012241204052114969,0.018537374163155654
-0.008257253359626137,-0.008357790910139589,-0.01077266344698232,0.012242309917089531,0.018520113053335317
-0.008249608466975904,-0.008362983667411445,-0.010773192338926674,0.01224110788994327,0.01851121805245296
-0.00824511288544888,-0.00836565216767615,-0.010766028257134946,0.012238824038365369,0.018521146796681102
-0.008252974142985441,-0.008368104303054527,-0.010761172067464042,0.012238439389678564,0.01853617213600939
-0.008260306508577646,-0.008366349343420983,-0.010754272431644491,0.012240675160170614,0.01853804729835756
-0.008263047130471126,-0.008363969329671383,-0.010756484161593615,0.012243415782064095,0.018534152730403663
-0.008266316644308961,-0.008360795978005247,-0.010758431445570562,0.012238030700448837,0.01853547496026456
-0.00826266248178432,-0.008360074761717491,-0.010755354256076127,0.012233967848694466,0.01853855214975899
-0.008255931129765248,-0.008357478383081561,-0.01075787851308328,0.012234328456838344,0.018527781986528474
-0.008253527075472722,-0.008356156153220672,-0.010760715297148464,0.012240458795284287,0.018519295674875855
-0.008252541413212786,-0.008359041018371703,-0.010761797121580098,0.0122417089035164,0.018518935066731974
-0.008253022224071292,-0.008360411329318442,-0.010764561784016505,0.012237381605789851,0.01852112275613817
-0.008268528374258084,-0.008362671140353418,-0.01076025852683288,0.012239785660082379,0.01851941587759048
-0.008272615266555379,-0.008364810748673766,-0.010754224350558641,0.012241131930486194,0.018509318849561876
-0.008267566752541075,-0.008363127910668998,-0.01075331080992748,0.012241877187316877,0.018509390971190646
-0.008264561684675417,-0.008359810315745309,-0.010753719499157209,0.012240675160170614,0.01851705990438381
-0.008254993548591162,-0.008353704017842295,-0.010755642742591229,0.01224069920071354,0.018511891187654873
-0.008252805859184963,-0.008352333706895554,-0.01075667648593702,0.012238751916736592,0.0185120113903695
-0.008255330116192117,-0.00835459351793053,-0.010757493864396476,0.012219134833709578,0.01851205947145535
-0.008258263062428998,-0.008362935586325596,-0.010758960337514915,0.0122237265774083,0.018507972579158056
-0.008253671318730274,-0.00836377700532798,-0.010760595094433835,0.012233655321636436,0.018511121890281267
-0.00825333475112932,-0.008365964694734178,-0.010762013486466424,0.012241540619715923,0.01850785237644343
-0.008252132723983056,-0.00836707055970874,-0.010764345419130177,0.012240819403428166,0.01850612145735281
-0.008253575156558574,-0.00836637338396391,-0.010765379162475964,0.012237670092304956,0.01850876591707459
-0.008251844237467953,-0.008363440437727026,-0.010762253891895678,0.012239689497910678,0.018508597633274112
-0.00824831027765794,-0.008361517194293006,-0.010759729634888526,0.012238824038365369,0.01850364528143151
-0.008242588628441726,-0.008364474181072813,-0.010761724999951323,0.012242430119804158,0.0184978274700436
-0.00824607450716589,-0.008365796410933702,-0.010767855338397265,0.01224257436306171,0.018506626308754243
-0.008253286670043469,-0.008361060423977423,-0.010775307906704095,0.012239953943882857,0.018502996186772525
-0.008259873778804992,-0.008360339207689667,-0.010776125285163557,0.012235025632583177,0.01850217880831307
-0.008264321279246164,-0.008359690113030685,-0.010770980608977548,0.012238655754564893,0.018489389239476833
-0.008269465955432171,-0.008358199599369318,-0.010763744405557043,0.012240939606142792,0.018484533049805924
-0.008275788618221515,-0.008356901410051354,-0.010762975108183435,0.012246156403957572,0.01849431755077651
-0.00827364900990117,-0.008356733126250878,-0.010770475757576118,0.012247454593275538,0.018482874252344083
-0.008267302306568898,-0.008355627261276316,-0.010777615798824922,0.012247719039247715,0.01847181560259846
-0.008276894483196077,-0.008354425234130053,-0.010776630136564986,0.012245363066041041,0.01847155115662628
-0.0082791062131452,-0.008354857963902708,-0.010768576554685022,0.01223997798442578,0.0184797489817638
-0.008269850604118976,-0.008353583815127668,-0.010761917324294726,0.012241204052114969,0.018477777657243927
-0.008263239454814528,-0.008356396558649924,-0.010762758743297109,0.01224235799817538,0.018470517413280492
-0.008254969508048238,-0.008359593950858984,-0.010766244622021272,0.012241180011572044,0.01847470046774949
