channel1,channel2,channel3,channel4,channel5
-0.005601831150273222,-0.009025516989888786,-0.01203262830169538,0.009219644374010287,0.014720336960196928
-0.005594883433367821,-0.009077973454551712,-0.012036570950735124,0.009220173265954644,0.01472245252797435
-0.005590363811297871,-0.009066193588518331,-0.0120387345995984,0.009229116347922844,0.0147246882984664
-0.005592936149390874,-0.009040013437272721,-0.012038638437426698,0.009247266957831415,0.014726371136471168
-0.005599114568922667,-0.009030228936302138,-0.012038854802313023,0.009255512864054785,0.014746180543841587
-0.005607312394060182,-0.009024867895229804,-0.01202923858514292,0.009228611496521412,0.014761109720998176
-0.005598369312091984,-0.009019098164927741,-0.012020367624803498,0.00921897123880838,0.014756830504357478
-0.005580987999557018,-0.009007630825952387,-0.012015319110789192,0.009203489129164513,0.014769932600251744
-0.0055763722153153675,-0.008989480216043814,-0.012002096812180296,0.009193223817335424,0.014787001385728684
-0.005584233472851928,-0.008988710918670206,-0.01200101498774866,0.009207936629605687,0.014793131724174626
-0.005591830284416312,-0.009000707149589914,-0.012002096812180296,0.009234669713338578,0.014803925927948068
-0.005597047082231093,-0.00901539592131725,-0.012005294204389358,0.00923604002428532,0.01481229203688606
-0.0056075287589465094,-0.00899214871630852,-0.01201517486753164,0.009236232348628722,0.01482202845677079
-0.005600989731270838,-0.008908271262042274,-0.012019357922000635,0.00923604002428532,0.014820417740394796
-0.005596734555173065,-0.008957241847981037,-0.012017627002910015,0.009239814389524585,0.014827942430330403
-0.0055994511365236215,-0.009021213732705164,-0.012018300138111924,0.009222961968933976,0.014833688120089544
-0.0055970711227740205,-0.009025709314232187,-0.012017170232594436,0.00918937733046738,0.014836116214924996
-0.0055895223922954864,-0.009025276584459532,-0.012019021354399684,0.009199041628723335,0.01482553837603788
-0.005583223770049067,-0.009001236041534268,-0.012018155894854374,0.0092343091051947,0.014831524471226269
-0.0055850027702255365,-0.008941543373450841,-0.012016376894677905,0.009254959931567502,0.01484049159373739
-0.005606278650714396,-0.00899580287883316,-0.012022699557467249,0.009242290565445888,0.014848665378331984
-0.005594162217080063,-0.009029435598385606,-0.012022964003439426,0.00921517283302619,0.01483577964732404
-0.005567958025291525,-0.009001115838819644,-0.012019934895030842,0.009211831197559578,0.01482979355213565
